,Period,Weights Max PDI,Weights Max sharpe,Weights Equal,Weights Max PDI - PDI,Weights Max sharpe - PDI,Weights Equal - PDI,Assets
0,2016Q1,"[0.18, 0.19, 0.16, 0.18, 0.11, 0.18]","[0.12, 0.71, 0.02, 0.01, 0.03, 0.1]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.7674422306637796,1.0003644921960566,2.3452139185711243,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
1,2016Q2,"[0.16, 0.13, 0.18, 0.17, 0.11, 0.26]","[0.22, 0.07, 0.25, 0.0, 0.0, 0.45]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.698068397203493,1.0615716138591433,1.4831579563743338,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
2,2016Q3,"[0.16, 0.15, 0.26, 0.11, 0.11, 0.22]","[0.21, 0.13, 0.06, 0.01, 0.0, 0.59]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.6066657940070646,1.0182254269550843,1.490409763918437,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
3,2016Q4,"[0.2, 0.14, 0.18, 0.16, 0.12, 0.2]","[0.08, 0.02, 0.05, 0.02, 0.02, 0.81]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.7451707330625235,1.0001011330204235,1.7036464458622835,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
4,2017Q1,"[0.2, 0.15, 0.14, 0.16, 0.1, 0.25]","[0.01, 0.01, 0.07, 0.63, 0.04, 0.24]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.9609596231545456,1.002736323984462,1.5704441044113184,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
5,2017Q2,"[0.21, 0.2, 0.25, 0.05, 0.09, 0.2]","[0.03, 0.58, 0.13, 0.05, 0.18, 0.03]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.7618958533220423,1.2160523969716173,1.6380185314961881,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
6,2017Q3,"[0.19, 0.15, 0.29, 0.03, 0.12, 0.23]","[0.02, 0.55, 0.24, 0.08, 0.04, 0.08]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",3.002683293414404,1.0140897351265465,2.0006426963718194,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
7,2017Q4,"[0.24, 0.14, 0.29, 0.01, 0.14, 0.18]","[0.01, 0.52, 0.26, 0.09, 0.01, 0.11]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.6720478006743904,1.031813689677079,2.1052142149835857,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
8,2018Q1,"[0.33, 0.02, 0.01, 0.22, 0.21, 0.21]","[0.0, 0.48, 0.2, 0.01, 0.06, 0.24]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.61531253512986,1.0167167073423444,2.045573650848499,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
9,2018Q2,"[0.21, 0.14, 0.0, 0.21, 0.19, 0.24]","[0.11, 0.53, 0.16, 0.08, 0.01, 0.12]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.583472912270118,1.0019300903872512,1.946931227867191,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
10,2018Q3,"[0.05, 0.04, 0.29, 0.18, 0.15, 0.29]","[0.11, 0.45, 0.03, 0.21, 0.01, 0.19]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.2771438817206193,1.0271393707409708,1.5857208535923113,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
11,2018Q4,"[0.01, 0.12, 0.31, 0.18, 0.14, 0.25]","[0.04, 0.15, 0.13, 0.02, 0.02, 0.64]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.4837244379578434,1.0172479605210971,1.4536995545839302,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
12,2019Q1,"[0.07, 0.12, 0.25, 0.2, 0.14, 0.22]","[0.43, 0.1, 0.0, 0.03, 0.02, 0.42]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.3485992461586243,1.0094506634261453,1.330113511693161,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
13,2019Q2,"[0.08, 0.09, 0.25, 0.18, 0.14, 0.24]","[0.38, 0.04, 0.04, 0.02, 0.03, 0.48]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.181240459978634,1.0086455648836101,1.3060964880595978,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
14,2019Q3,"[0.06, 0.16, 0.28, 0.19, 0.13, 0.17]","[0.01, 0.01, 0.52, 0.0, 0.03, 0.42]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.1944268350404195,1.2963722021088606,1.381881739995488,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
15,2019Q4,"[0.18, 0.13, 0.21, 0.2, 0.14, 0.13]","[0.06, 0.08, 0.64, 0.03, 0.0, 0.2]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.2374980523911785,1.0270559421227876,1.5873824812388069,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
16,2020Q1,"[0.2, 0.09, 0.26, 0.17, 0.14, 0.13]","[0.1, 0.01, 0.4, 0.03, 0.02, 0.44]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.5845073680440085,1.2898534827194332,1.8060693283703784,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
17,2020Q2,"[0.2, 0.11, 0.12, 0.17, 0.15, 0.25]","[0.08, 0.52, 0.01, 0.0, 0.04, 0.34]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.6146848931496858,1.0045438529452282,1.4875235637395017,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
18,2020Q3,"[0.14, 0.14, 0.16, 0.12, 0.18, 0.25]","[0.14, 0.66, 0.06, 0.0, 0.12, 0.01]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.410081680376586,1.000140516788513,1.5854445815421179,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
19,2020Q4,"[0.15, 0.11, 0.16, 0.11, 0.2, 0.28]","[0.05, 0.61, 0.03, 0.02, 0.0, 0.29]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.3446864681699164,1.001556550467797,1.7385478709680577,"['PSJ', 'ARKW', 'IAK', 'KRE', 'BBP', 'IHI']"
