,Period,Weights max PDI,Weights max sharpe,Weights equal,Weights max PDI - PDI,Weights max sharpe - PDI,Weights equal - PDI,Assets
0,2016Q1,[0.2 0.2 0.2 0.2 0.2],[0.2 0.2 0.2 0.2 0.2],[0.2 0.2 0.2 0.2 0.2],1.7517781075340881,1.7517781075340881,1.7517781075340881,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
1,2016Q2,"[0.16, 0.2, 0.2, 0.18, 0.26]","[0.0, 0.07, 0.52, 0.4, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]",2.01911147813838,1.1036847212046044,1.6353453839521754,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
2,2016Q3,"[0.15, 0.18, 0.22, 0.19, 0.26]","[0.01, 0.11, 0.82, 0.05, 0.01]","[0.2, 0.2, 0.2, 0.2, 0.2]",1.2687743938245442,1.0003652503241307,1.2744469093827848,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
3,2016Q4,"[0.16, 0.27, 0.18, 0.23, 0.15]","[0.13, 0.71, 0.13, 0.01, 0.01]","[0.2, 0.2, 0.2, 0.2, 0.2]",1.1759329869385677,1.0292669102774212,1.1126872503285008,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
4,2017Q1,"[0.15, 0.24, 0.21, 0.12, 0.28]","[0.0, 0.11, 0.02, 0.68, 0.19]","[0.2, 0.2, 0.2, 0.2, 0.2]",1.4856989767714746,1.0001650372864357,1.6817579462698125,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
5,2017Q2,"[0.14, 0.22, 0.33, 0.08, 0.23]","[0.17, 0.09, 0.59, 0.13, 0.01]","[0.2, 0.2, 0.2, 0.2, 0.2]",1.1585083411660415,1.015796007480759,2.2092341291956505,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
6,2017Q3,"[0.18, 0.3, 0.29, 0.21, 0.02]","[0.11, 0.18, 0.52, 0.19, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]",1.4756841082924503,1.0540855731989232,1.9447361019267069,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
7,2017Q4,"[0.19, 0.1, 0.29, 0.18, 0.25]","[0.0, 0.34, 0.44, 0.21, 0.01]","[0.2, 0.2, 0.2, 0.2, 0.2]",1.6665062138115871,1.2169133294237464,1.5528373577625545,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
8,2018Q1,"[0.2, 0.27, 0.22, 0.06, 0.25]","[0.01, 0.47, 0.49, 0.03, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]",1.4002148393222869,1.058661021577123,2.213299554864432,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
9,2018Q2,"[0.19, 0.25, 0.19, 0.09, 0.28]","[0.01, 0.1, 0.67, 0.17, 0.04]","[0.2, 0.2, 0.2, 0.2, 0.2]",1.5597047332795166,1.0006704869160465,1.5360980200150345,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
10,2018Q3,"[0.18, 0.23, 0.06, 0.24, 0.28]","[0.02, 0.01, 0.76, 0.16, 0.06]","[0.2, 0.2, 0.2, 0.2, 0.2]",1.5742922333534115,1.00018274580869,1.6277253375486613,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
11,2018Q4,"[0.19, 0.22, 0.05, 0.26, 0.28]","[0.07, 0.04, 0.78, 0.07, 0.04]","[0.2, 0.2, 0.2, 0.2, 0.2]",1.3032615576136166,1.0000351023866827,1.666414346850659,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
12,2019Q1,"[0.18, 0.26, 0.1, 0.22, 0.24]","[0.07, 0.01, 0.82, 0.08, 0.01]","[0.2, 0.2, 0.2, 0.2, 0.2]",2.092327442971256,1.000074461851665,1.4024555693188678,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
13,2019Q2,"[0.16, 0.29, 0.1, 0.23, 0.23]","[0.05, 0.02, 0.85, 0.02, 0.06]","[0.2, 0.2, 0.2, 0.2, 0.2]",2.143560920153537,1.000065689790596,1.2329022453681624,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
14,2019Q3,"[0.16, 0.27, 0.14, 0.19, 0.25]","[0.0, 0.13, 0.7, 0.01, 0.16]","[0.2, 0.2, 0.2, 0.2, 0.2]",1.2059210435930896,1.000846720355968,1.5655686115411043,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
15,2019Q4,"[0.15, 0.29, 0.16, 0.17, 0.22]","[0.02, 0.82, 0.02, 0.08, 0.07]","[0.2, 0.2, 0.2, 0.2, 0.2]",1.8541738741652978,1.0008573759229287,2.1080509896809976,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
16,2020Q1,"[0.16, 0.33, 0.18, 0.12, 0.22]","[0.01, 0.58, 0.23, 0.16, 0.02]","[0.2, 0.2, 0.2, 0.2, 0.2]",1.0090960237465119,1.001658867362,1.0845467381903582,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
17,2020Q2,"[0.23, 0.23, 0.16, 0.22, 0.16]","[0.0, 0.02, 0.85, 0.01, 0.11]","[0.2, 0.2, 0.2, 0.2, 0.2]",1.0427061126203654,1.0009343507557857,1.0590780995564093,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
18,2020Q3,"[0.27, 0.24, 0.14, 0.15, 0.19]","[0.2, 0.01, 0.71, 0.07, 0.01]","[0.2, 0.2, 0.2, 0.2, 0.2]",1.5107988875546474,1.0011208475641435,1.290408528736191,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
19,2020Q4,"[0.28, 0.26, 0.13, 0.19, 0.14]","[0.03, 0.13, 0.79, 0.01, 0.05]","[0.2, 0.2, 0.2, 0.2, 0.2]",1.4088597298874,1.000356630062044,1.3322909075678737,"['BBP', 'FEMS', 'ARKW', 'KRE', 'XTN']"
